trip_id,starttime,stoptime,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear
6436729,7/24/2015 7:28,7/24/2015 7:42,1028,845,30,Ashland Ave & Augusta Blvd,107,Desplaines St & Jackson Blvd,Subscriber,Male,1979.0
6131582,7/9/2015 17:45,7/9/2015 18:02,788,1056,113,Bissell St & Armitage Ave,289,Wells St & Concord Pl,Subscriber,Female,1984.0
6219363,7/13/2015 17:20,7/13/2015 17:24,3432,204,240,Sheridan Rd & Irving Park Rd,231,Sheridan Rd & Montrose Ave,Subscriber,Male,1991.0
6569135,7/30/2015 8:57,7/30/2015 9:06,3841,576,346,Ada St & Washington Blvd,91,Clinton St & Washington Blvd,Subscriber,Female,1984.0
6288425,7/17/2015 13:28,7/17/2015 14:20,4811,3110,6,Dusable Harbor,144,Larrabee St & Webster Ave,Customer,,
6012979,7/4/2015 10:00,7/4/2015 10:07,4502,410,289,Wells St & Concord Pl,313,Lakeview Ave & Fullerton Pkwy,Subscriber,Female,1987.0
6334284,7/19/2015 14:50,7/19/2015 14:55,1297,248,144,Larrabee St & Webster Ave,288,Larrabee St & Armitage Ave,Subscriber,Female,1990.0
6228199,7/14/2015 8:09,7/14/2015 8:26,2447,976,29,Noble St & Milwaukee Ave,81,Daley Center Plaza,Subscriber,Female,1983.0
6011130,7/4/2015 6:19,7/4/2015 6:32,4377,757,106,State St & Pearson St,20,Sheffield Ave & Kingsbury St,Customer,,
5990604,7/3/2015 12:41,7/3/2015 13:58,2021,4644,177,Theater on the Lake,177,Theater on the Lake,Customer,,
6482143,7/26/2015 3:14,7/26/2015 3:25,4354,652,116,Western Ave & Winnebago Ave,501,Richmond St & Diversey Ave,Subscriber,Male,1988.0
6328190,7/19/2015 11:51,7/19/2015 12:12,4339,1227,85,Michigan Ave & Oak St,35,Streeter Dr & Illinois St,Subscriber,Male,1965.0
6267678,7/16/2015 7:13,7/16/2015 7:26,1799,758,162,Damen Ave & Wellington Ave,157,Lake Shore Dr & Wellington Ave,Customer,,
6270076,7/16/2015 8:45,7/16/2015 8:51,4518,357,245,Clarendon Ave & Junior Ter,304,Broadway & Waveland Ave,Subscriber,Male,1987.0
6604958,7/31/2015 18:01,7/31/2015 18:04,276,184,156,Clark St & Wellington Ave,296,Broadway & Belmont Ave,Subscriber,Male,1982.0
6399192,7/22/2015 13:09,7/22/2015 13:19,4262,649,110,Dearborn St & Erie St,112,Green St & Randolph St,Subscriber,Male,1973.0
6148650,7/10/2015 14:40,7/10/2015 14:50,3116,559,286,Franklin St & Quincy St,74,Kingsbury St & Erie St,Subscriber,Female,1983.0
6227362,7/14/2015 7:37,7/14/2015 7:50,2651,785,168,Michigan Ave & 14th St,286,Franklin St & Quincy St,Subscriber,Female,1976.0
6516453,7/27/2015 17:50,7/27/2015 17:55,140,287,284,Michigan Ave & Jackson Blvd,255,Indiana Ave & Roosevelt Rd,Subscriber,Male,1983.0
6354726,7/20/2015 12:36,7/20/2015 12:59,3084,1353,341,Adler Planetarium,76,Lake Shore Dr & Monroe St,Customer,,
6396169,7/22/2015 9:41,7/22/2015 10:07,2821,1617,74,Kingsbury St & Erie St,74,Kingsbury St & Erie St,Customer,,
6471753,7/25/2015 15:43,7/25/2015 15:57,3233,840,275,Ashland Ave & 13th St,129,Blue Island Ave & 18th St,Subscriber,Female,1985.0
6219518,7/13/2015 17:25,7/13/2015 17:33,3913,495,293,Broadway & Wilson Ave,292,Southport Ave & Clark St,Subscriber,Female,1991.0
6282685,7/17/2015 8:13,7/17/2015 8:31,2526,1129,290,Kedzie Ave & Palmer Ct,92,Carpenter St & Huron St,Subscriber,Male,1985.0
6139884,7/10/2015 7:31,7/10/2015 7:42,987,663,91,Clinton St & Washington Blvd,211,St. Clair St & Erie St,Subscriber,Male,1959.0
6183659,7/11/2015 23:26,7/11/2015 23:47,3551,1279,62,McCormick Place,50,Clark St & Congress Pkwy,Customer,,
6080039,7/6/2015 17:31,7/6/2015 17:50,3036,1111,344,Ravenswood Ave & Lawrence Ave,228,Damen Ave & Melrose Ave,Subscriber,Male,1982.0
6119512,7/9/2015 6:43,7/9/2015 7:07,4759,1463,153,Southport Ave & Wellington Ave,91,Clinton St & Washington Blvd,Subscriber,Male,1981.0
5981688,7/2/2015 20:19,7/2/2015 20:40,2106,1293,416,Dorchester Ave & 49th St,336,Cottage Grove Ave & 47th St,Customer,,
6114935,7/8/2015 18:08,7/8/2015 18:25,4660,1006,333,Ashland Ave & Blackhawk St,181,LaSalle St & Illinois St,Subscriber,Male,1974.0
6212486,7/13/2015 11:37,7/13/2015 11:42,4565,279,152,Lincoln Ave & Diversey Pkwy,127,Lincoln Ave & Fullerton Ave,Subscriber,Male,1971.0
6408565,7/22/2015 18:53,7/22/2015 19:21,3416,1698,268,Lake Shore Dr & North Blvd,35,Streeter Dr & Illinois St,Customer,,
6063597,7/5/2015 19:49,7/5/2015 20:04,4599,883,36,Franklin St & Jackson Blvd,91,Clinton St & Washington Blvd,Subscriber,Female,1990.0
6315845,7/18/2015 17:25,7/18/2015 17:42,4086,978,338,Calumet Ave & 18th St,97,Museum Campus,Customer,,
