trip_id,starttime,stoptime,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear
4607895,3/12/2015 7:11,3/12/2015 7:16,2058,322,75,Canal St & Jackson Blvd,284,Michigan Ave & Jackson Blvd,Subscriber,Male,1960.0
4467889,1/22/2015 17:07,1/22/2015 17:10,2499,178,16,Wood St & North Ave,58,Marshfield Ave & Cortland St,Subscriber,Male,1977.0
4644042,3/16/2015 10:30,3/16/2015 10:36,369,346,91,Clinton St & Washington Blvd,100,Orleans St & Merchandise Mart Plaza,Subscriber,Male,1986.0
4598015,3/10/2015 17:19,3/10/2015 17:36,857,1048,134,Peoria St & Jackson Blvd,128,Damen Ave & Chicago Ave,Subscriber,Male,1984.0
4467863,1/22/2015 17:02,1/22/2015 17:12,2241,611,52,Michigan Ave & Lake St,192,Canal St & Adams St,Subscriber,Male,1963.0
4563163,2/28/2015 15:21,2/28/2015 15:25,2203,238,44,State St & Randolph St,287,Franklin St & Arcade Pl,Subscriber,Male,1993.0
4567332,3/2/2015 16:40,3/2/2015 17:04,2059,1433,81,Daley Center Plaza,300,Broadway & Barry Ave,Subscriber,Male,1979.0
4657630,3/17/2015 16:30,3/17/2015 16:40,543,603,37,Dearborn St & Adams St,134,Peoria St & Jackson Blvd,Subscriber,Female,1986.0
4455240,1/19/2015 21:57,1/19/2015 22:12,1018,946,43,Michigan Ave & Washington St,321,Wabash Ave & 8th St,Customer,,
4721916,3/30/2015 5:47,3/30/2015 6:00,808,734,284,Michigan Ave & Jackson Blvd,77,Clinton St & Madison St,Subscriber,Male,1976.0
4417742,1/2/2015 19:38,1/2/2015 19:57,2373,1173,198,Halsted St & Madison St,93,Sheffield Ave & Willow St,Subscriber,Male,1978.0
4604013,3/11/2015 15:36,3/11/2015 16:09,428,1972,148,State St & 33rd St,341,Adler Planetarium,Subscriber,Male,1987.0
4526837,2/11/2015 17:08,2/11/2015 17:19,2202,697,86,Eckhart Park,134,Peoria St & Jackson Blvd,Subscriber,Male,1989.0
4543375,2/18/2015 19:46,2/18/2015 19:58,611,728,217,May St & Fulton St,36,Franklin St & Jackson Blvd,Subscriber,Male,1988.0
4654752,3/17/2015 8:32,3/17/2015 8:39,2587,428,112,Green St & Randolph St,75,Canal St & Jackson Blvd,Subscriber,Female,1978.0
4621688,3/13/2015 17:16,3/13/2015 17:35,2403,1125,76,Lake Shore Dr & Monroe St,97,Museum Campus,Customer,,
4730996,3/31/2015 7:51,3/31/2015 8:08,3013,1037,178,State St & 19th St,283,LaSalle St & Jackson Blvd,Subscriber,Female,1981.0
4415498,1/2/2015 12:03,1/2/2015 12:14,1703,652,36,Franklin St & Jackson Blvd,195,Columbus Dr & Randolph St,Subscriber,Male,1970.0
4517785,2/9/2015 7:56,2/9/2015 8:02,425,362,174,Canal St & Madison St,283,LaSalle St & Jackson Blvd,Subscriber,Male,1978.0
4593914,3/10/2015 7:31,3/10/2015 7:38,2165,435,340,Clark St & Wrightwood Ave,177,Theater on the Lake,Subscriber,Male,1984.0
4514510,2/7/2015 14:40,2/7/2015 14:59,1516,1153,324,Stockton Dr & Wrightwood Ave,85,Michigan Ave & Oak St,Subscriber,Female,1965.0
4699666,3/25/2015 8:22,3/25/2015 8:30,1528,456,91,Clinton St & Washington Blvd,48,Larrabee St & Kingsbury St,Subscriber,Male,1981.0
4706419,3/26/2015 9:42,3/26/2015 9:52,2163,551,350,Ashland Ave & Chicago Ave,48,Larrabee St & Kingsbury St,Subscriber,Male,1992.0
4707725,3/26/2015 14:38,3/26/2015 14:58,2238,1170,303,Broadway & Cornelia Ave,34,Cannon Dr & Fullerton Ave,Customer,,
4504728,2/2/2015 23:21,2/2/2015 23:25,1741,233,334,Lake Shore Dr & Belmont Ave,157,Lake Shore Dr & Wellington Ave,Subscriber,Male,1969.0
4614576,3/12/2015 20:03,3/12/2015 20:06,2314,167,229,Southport Ave & Roscoe St,154,Southport Ave & Belmont Ave,Subscriber,Male,1984.0
4533185,2/13/2015 17:41,2/13/2015 17:49,2581,509,24,Fairbanks Ct & Grand Ave,212,Wells St & Hubbard St,Subscriber,Female,1981.0
4681038,3/20/2015 17:50,3/20/2015 17:54,1937,262,241,Morgan St & Polk St,136,Racine Ave & 13th St,Subscriber,Male,1992.0
4474670,1/24/2015 9:08,1/24/2015 9:11,943,173,226,Racine Ave & Belmont Ave,117,Wilton Ave & Belmont Ave,Subscriber,Female,1987.0
4588590,3/9/2015 9:23,3/9/2015 9:42,1743,1116,43,Michigan Ave & Washington St,25,Michigan Ave & Pearson St,Customer,,
4735680,3/31/2015 17:13,3/31/2015 17:24,98,687,232,Pine Grove Ave & Waveland Ave,340,Clark St & Wrightwood Ave,Subscriber,Female,1981.0
4622869,3/13/2015 18:22,3/13/2015 18:37,1338,905,77,Clinton St & Madison St,130,Damen Ave & Division St,Subscriber,Male,1985.0
4496931,1/30/2015 9:18,1/30/2015 9:25,1485,397,113,Bissell St & Armitage Ave,127,Lincoln Ave & Fullerton Ave,Subscriber,Female,1963.0
4506675,2/4/2015 6:07,2/4/2015 6:21,1054,896,25,Michigan Ave & Pearson St,283,LaSalle St & Jackson Blvd,Subscriber,Male,1984.0
4545555,2/20/2015 8:27,2/20/2015 8:41,2431,843,211,St. Clair St & Erie St,286,Franklin St & Quincy St,Subscriber,Male,1962.0
4470418,1/23/2015 8:24,1/23/2015 8:33,751,572,239,Western Ave & Leland Ave,314,Ravenswood Ave & Berteau Ave,Subscriber,Male,1979.0
4634975,3/15/2015 12:35,3/15/2015 13:14,595,2321,299,Halsted St & Roscoe St,99,Lake Shore Dr & Ohio St,Customer,,
4657695,3/17/2015 16:36,3/17/2015 16:50,1046,846,88,May St & Randolph St,50,Clark St & Congress Pkwy,Subscriber,Male,1966.0
