trip_id,starttime,stoptime,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear
5019758,5/2/2015 10:05,5/2/2015 10:14,72,545,223,Clifton Ave & Armitage Ave,349,Halsted St & Wrightwood Ave,Subscriber,Male,1978.0
4874907,4/15/2015 17:21,4/15/2015 17:26,2683,304,197,Michigan Ave & Madison St,174,Canal St & Madison St,Subscriber,Male,1964.0
5149598,5/14/2015 6:23,5/14/2015 6:37,3404,806,273,Michigan Ave & 16th St,192,Canal St & Adams St,Subscriber,Male,1982.0
5127077,5/12/2015 6:33,5/12/2015 6:55,2374,1342,305,Western Ave & Division St,24,Fairbanks Ct & Grand Ave,Subscriber,Female,1989.0
4776193,4/4/2015 19:16,4/4/2015 19:39,2848,1432,85,Michigan Ave & Oak St,304,Broadway & Waveland Ave,Subscriber,Male,1978.0
5128034,5/12/2015 7:59,5/12/2015 8:06,4117,452,255,Indiana Ave & Roosevelt Rd,50,Clark St & Congress Pkwy,Subscriber,Male,1979.0
5687709,6/17/2015 19:25,6/17/2015 19:39,586,831,23,Orleans St & Elm St,94,Clark St & Armitage Ave,Subscriber,Female,1956.0
5197424,5/17/2015 12:23,5/17/2015 12:50,2215,1595,143,Sedgwick St & Webster Ave,85,Michigan Ave & Oak St,Customer,,
5328243,5/25/2015 17:58,5/25/2015 18:17,4249,1132,85,Michigan Ave & Oak St,76,Lake Shore Dr & Monroe St,Subscriber,Male,1991.0
5135299,5/12/2015 18:14,5/12/2015 18:25,3789,669,58,Marshfield Ave & Cortland St,152,Lincoln Ave & Diversey Pkwy,Subscriber,Female,1987.0
5245935,5/20/2015 17:39,5/20/2015 17:57,2203,1118,73,Jefferson St & Monroe St,130,Damen Ave & Division St,Subscriber,Male,1988.0
5043108,5/3/2015 15:52,5/3/2015 16:12,2535,1175,126,Clark St & North Ave,35,Streeter Dr & Illinois St,Customer,,
5274479,5/22/2015 16:24,5/22/2015 17:20,4186,3341,106,State St & Pearson St,461,Broadway & Ridge Ave,Subscriber,Female,1966.0
5868141,6/27/2015 14:46,6/27/2015 15:26,4467,2351,174,Canal St & Madison St,288,Larrabee St & Armitage Ave,Customer,,
5817776,6/24/2015 16:05,6/24/2015 16:32,2279,1614,90,Millennium Park,150,Fort Dearborn Dr & 31st St,Customer,,
5056309,5/4/2015 18:17,5/4/2015 18:36,3244,1107,364,Larrabee St & Oak St,156,Clark St & Wellington Ave,Subscriber,Female,1991.0
