trip_id,starttime,stoptime,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear
8279536,11/13/2015 18:10,11/13/2015 18:16,1815,374,192,Canal St & Adams St,44,State St & Randolph St,Subscriber,Male,1987.0
7957738,10/16/2015 8:07,10/16/2015 8:17,2075,567,59,Wabash Ave & Roosevelt Rd,197,Michigan Ave & Madison St,Subscriber,Male,1968.0
8271699,11/12/2015 20:01,11/12/2015 20:13,1023,731,224,Halsted St & Willow St,302,Sheffield Ave & Wrightwood Ave,Subscriber,Male,1990.0
7965481,10/16/2015 16:59,10/16/2015 17:06,4826,418,39,Wabash Ave & Adams St,174,Canal St & Madison St,Subscriber,Male,1968.0
7812171,10/6/2015 16:57,10/6/2015 17:18,4586,1254,192,Canal St & Adams St,61,Wood St & Milwaukee Ave,Subscriber,Female,1984.0
7853494,10/9/2015 10:00,10/9/2015 10:09,483,566,46,Wells St & Walton St,196,Cityfront Plaza Dr & Pioneer Ct,Subscriber,Male,1974.0
8544673,12/31/2015 5:12,12/31/2015 5:17,1713,299,110,Dearborn St & Erie St,196,Cityfront Plaza Dr & Pioneer Ct,Subscriber,Female,1983.0
7792663,10/5/2015 10:29,10/5/2015 12:46,2201,8212,90,Millennium Park,90,Millennium Park,Customer,,
8416622,12/6/2015 14:20,12/6/2015 14:25,2989,303,59,Wabash Ave & Roosevelt Rd,321,Wabash Ave & 8th St,Subscriber,Female,1993.0
8376786,11/30/2015 16:56,11/30/2015 17:02,297,415,191,Canal St & Monroe St,81,Daley Center Plaza,Subscriber,Male,1951.0
8006575,10/20/2015 8:27,10/20/2015 8:50,471,1393,99,Lake Shore Dr & Ohio St,302,Sheffield Ave & Wrightwood Ave,Subscriber,Female,1969.0
7840552,10/8/2015 13:33,10/8/2015 13:41,3864,469,423,University Ave & 57th St,322,Kimbark Ave & 53rd St,Subscriber,Male,1987.0
8313722,11/17/2015 18:56,11/17/2015 18:59,476,207,343,Racine Ave & Wrightwood Ave,153,Southport Ave & Wellington Ave,Subscriber,Male,1989.0
8110699,10/28/2015 19:15,10/28/2015 19:19,2564,242,123,California Ave & Milwaukee Ave,504,Campbell Ave & Fullerton Ave,Subscriber,Male,1982.0
7825008,10/7/2015 13:42,10/7/2015 14:01,396,1166,34,Cannon Dr & Fullerton Ave,324,Stockton Dr & Wrightwood Ave,Customer,,
7932336,10/14/2015 12:08,10/14/2015 12:42,3902,2016,52,Michigan Ave & Lake St,26,McClurg Ct & Illinois St,Customer,,
8110552,10/28/2015 18:58,10/28/2015 19:11,2223,760,141,Clark St & Lincoln Ave,157,Lake Shore Dr & Wellington Ave,Subscriber,Male,1987.0
8143455,11/1/2015 15:41,11/1/2015 16:03,4071,1364,76,Lake Shore Dr & Monroe St,85,Michigan Ave & Oak St,Customer,,
8262448,11/11/2015 17:22,11/11/2015 17:36,1229,829,199,Wabash Ave & Grand Ave,192,Canal St & Adams St,Subscriber,Male,1973.0
8132327,10/30/2015 19:08,10/30/2015 20:34,4069,5175,239,Western Ave & Leland Ave,199,Wabash Ave & Grand Ave,Customer,,
7767299,10/2/2015 15:58,10/2/2015 16:07,1546,524,43,Michigan Ave & Washington St,212,Wells St & Hubbard St,Subscriber,Female,1988.0
7829103,10/7/2015 17:21,10/7/2015 17:40,198,1099,174,Canal St & Madison St,236,Sedgwick St & Schiller St,Subscriber,Female,1975.0
